Method,Task,Seed_1337,Mean,Std
random_avg,mmlu,60.3855,60.3855,0.0000
random_avg,gsm8k,59.6411,59.6411,0.0000
random_avg,bbh,66.3990,66.3990,0.0000
rds_plus,mmlu,60.6253,60.6253,0.0000
rds_plus,gsm8k,61.4102,61.4102,0.0000
rds_plus,bbh,66.2289,66.2289,0.0000
bipcov_bge,mmlu,61.8146,61.8146,0.0000
bipcov_bge,gsm8k,61.7134,61.7134,0.0000
bipcov_bge,bbh,67.1422,67.1422,0.0000
bipcov_qwen3emb,mmlu,62.4982,62.4982,0.0000
bipcov_qwen3emb,gsm8k,63.0023,63.0023,0.0000
bipcov_qwen3emb,bbh,65.6174,65.6174,0.0000
bipcov_nvembed,mmlu,62.1279,62.1279,0.0000
bipcov_nvembed,gsm8k,59.2115,59.2115,0.0000
bipcov_nvembed,bbh,66.1398,66.1398,0.0000
bipcov_gteqwen2,mmlu,61.4727,61.4727,0.0000
bipcov_gteqwen2,gsm8k,62.5474,62.5474,0.0000
bipcov_gteqwen2,bbh,66.4031,66.4031,0.0000
bipcov_gritlm,mmlu,61.0668,61.0668,0.0000
bipcov_gritlm,gsm8k,61.1069,61.1069,0.0000
bipcov_gritlm,bbh,65.5582,65.5582,0.0000

# Overall averages (mean across tasks for each seed, then mean/std across seeds)
Method,Metric,Seed_1337,Mean,Std
random_avg,Avg(MMLU,GSM8K,BBH),62.1419,62.1419,0.0000
rds_plus,Avg(MMLU,GSM8K,BBH),62.7548,62.7548,0.0000
bipcov_bge,Avg(MMLU,GSM8K,BBH),63.5567,63.5567,0.0000
bipcov_qwen3emb,Avg(MMLU,GSM8K,BBH),63.7060,63.7060,0.0000
bipcov_nvembed,Avg(MMLU,GSM8K,BBH),62.4931,62.4931,0.0000
bipcov_gteqwen2,Avg(MMLU,GSM8K,BBH),63.4744,63.4744,0.0000
bipcov_gritlm,Avg(MMLU,GSM8K,BBH),62.5773,62.5773,0.0000
