ts,stage,variant,task,gpu,elapsed_s,ok
2026-01-07T19:32:21+00:00,bipcov_score,bipcov_qwen3emb,mmlu,0,6,1
2026-01-07T19:32:27+00:00,bipcov_score,bipcov_nvembed,mmlu,1,6,1
2026-01-07T19:32:32+00:00,bipcov_score,bipcov_gteqwen2,mmlu,2,5,1
2026-01-07T19:32:38+00:00,bipcov_score,bipcov_gritlm,mmlu,3,6,1
2026-01-07T19:32:43+00:00,bipcov_score,bipcov_qwen3emb,gsm8k,0,5,1
2026-01-07T19:32:49+00:00,bipcov_score,bipcov_nvembed,gsm8k,1,6,1
2026-01-07T19:32:54+00:00,bipcov_score,bipcov_gteqwen2,gsm8k,2,5,1
2026-01-07T19:33:00+00:00,bipcov_score,bipcov_gritlm,gsm8k,3,6,1
2026-01-07T19:33:06+00:00,bipcov_score,bipcov_qwen3emb,bbh,0,6,1
2026-01-07T19:33:11+00:00,bipcov_score,bipcov_nvembed,bbh,1,5,1
2026-01-07T19:33:17+00:00,bipcov_score,bipcov_gteqwen2,bbh,2,6,1
2026-01-07T19:33:23+00:00,bipcov_score,bipcov_gritlm,bbh,3,5,1
2026-01-07T20:35:23+00:00,train_eval,bipcov_nvembed,mmlu,3,3720,1
2026-01-07T20:40:23+00:00,train_eval,bipcov_qwen3emb,mmlu,0,4020,1
2026-01-07T20:50:23+00:00,train_eval,bipcov_qwen3emb,gsm8k,1,4620,1
2026-01-07T21:48:23+00:00,train_eval,bipcov_nvembed,gsm8k,3,4380,1
2026-01-07T21:56:23+00:00,train_eval,bipcov_gteqwen2,mmlu,1,3960,1
2026-01-07T22:25:23+00:00,train_eval,bipcov_qwen3emb,bbh,2,10320,1
2026-01-07T23:04:23+00:00,train_eval,bipcov_gteqwen2,gsm8k,3,4560,1
2026-01-07T23:25:23+00:00,train_eval,bipcov_nvembed,bbh,0,9900,1
2026-01-07T23:26:23+00:00,train_eval,bipcov_gritlm,mmlu,2,3660,1
2026-01-08T00:17:23+00:00,train_eval,bipcov_gritlm,gsm8k,3,4380,1
2026-01-08T00:40:23+00:00,train_eval,bipcov_gteqwen2,bbh,1,9840,1
2026-01-08T02:10:23+00:00,train_eval,bipcov_gritlm,bbh,0,9900,1
