Method,Task,Seed_1337,Mean,Std
random_avg,mmlu,60.3855,60.3855,0.0000
random_avg,gsm8k,59.6411,59.6411,0.0000
random_avg,bbh,66.3990,66.3990,0.0000
rds_plus,mmlu,60.6253,60.6253,0.0000
rds_plus,gsm8k,61.4102,61.4102,0.0000
rds_plus,bbh,66.2289,66.2289,0.0000
bipcov,mmlu,63.3813,63.3813,0.0000
bipcov,gsm8k,59.2873,59.2873,0.0000
bipcov,bbh,66.0785,66.0785,0.0000
bipcov_wmean,mmlu,60.4900,60.4900,0.0000
bipcov_wmean,gsm8k,61.8650,61.8650,0.0000
bipcov_wmean,bbh,66.3192,66.3192,0.0000
bipcov_bge,mmlu,61.8146,61.8146,0.0000
bipcov_bge,gsm8k,61.7134,61.7134,0.0000
bipcov_bge,bbh,67.1422,67.1422,0.0000
bipcov_e5,mmlu,62.1350,62.1350,0.0000
bipcov_e5,gsm8k,60.5762,60.5762,0.0000
bipcov_e5,bbh,65.5035,65.5035,0.0000

# Overall averages (mean across tasks for each seed, then mean/std across seeds)
Method,Metric,Seed_1337,Mean,Std
random_avg,Avg(MMLU,GSM8K,BBH),62.1419,62.1419,0.0000
rds_plus,Avg(MMLU,GSM8K,BBH),62.7548,62.7548,0.0000
bipcov,Avg(MMLU,GSM8K,BBH),62.9157,62.9157,0.0000
bipcov_wmean,Avg(MMLU,GSM8K,BBH),62.8914,62.8914,0.0000
bipcov_bge,Avg(MMLU,GSM8K,BBH),63.5567,63.5567,0.0000
bipcov_e5,Avg(MMLU,GSM8K,BBH),62.7382,62.7382,0.0000
