ts,stage,variant,task,gpu,elapsed_s,ok
2026-01-07T03:58:13+00:00,bipcov_score,wmean,mmlu,0,7,1
2026-01-07T03:58:17+00:00,bipcov_score,bge,mmlu,1,4,1
2026-01-07T03:58:20+00:00,bipcov_score,e5,mmlu,2,3,1
2026-01-07T03:58:26+00:00,bipcov_score,wmean,gsm8k,0,6,1
2026-01-07T03:58:30+00:00,bipcov_score,bge,gsm8k,1,4,1
2026-01-07T03:58:34+00:00,bipcov_score,e5,gsm8k,2,4,1
2026-01-07T03:58:40+00:00,bipcov_score,wmean,bbh,0,6,1
2026-01-07T03:58:44+00:00,bipcov_score,bge,bbh,1,4,1
2026-01-07T03:58:48+00:00,bipcov_score,e5,bbh,2,4,1
2026-01-07T03:59:48+00:00,train_eval,bipcov_wmean,mmlu,0,60,0
2026-01-07T04:14:41+00:00,bipcov_score,wmean,mmlu,0,0,1
2026-01-07T04:14:41+00:00,bipcov_score,bge,mmlu,1,0,1
2026-01-07T04:14:41+00:00,bipcov_score,e5,mmlu,2,0,1
2026-01-07T04:14:42+00:00,bipcov_score,wmean,gsm8k,0,0,1
2026-01-07T04:14:42+00:00,bipcov_score,bge,gsm8k,1,0,1
2026-01-07T04:14:42+00:00,bipcov_score,e5,gsm8k,2,0,1
2026-01-07T04:14:42+00:00,bipcov_score,wmean,bbh,0,0,1
2026-01-07T04:14:42+00:00,bipcov_score,bge,bbh,1,0,1
2026-01-07T04:14:42+00:00,bipcov_score,e5,bbh,2,0,1
2026-01-07T05:13:42+00:00,train_eval,bipcov_wmean,mmlu,0,3540,1
2026-01-07T05:20:42+00:00,train_eval,bipcov_bge,mmlu,3,3960,1
2026-01-07T05:30:42+00:00,train_eval,bipcov_wmean,gsm8k,1,4560,1
2026-01-07T06:28:42+00:00,train_eval,bipcov_bge,gsm8k,0,4500,1
2026-01-07T06:43:42+00:00,train_eval,bipcov_e5,mmlu,1,4380,1
2026-01-07T06:56:42+00:00,train_eval,bipcov_wmean,bbh,2,9720,1
2026-01-07T07:47:42+00:00,train_eval,bipcov_e5,gsm8k,0,4740,1
2026-01-07T08:07:42+00:00,train_eval,bipcov_bge,bbh,3,10020,1
2026-01-07T09:46:43+00:00,train_eval,bipcov_e5,bbh,1,10981,1
