Method,Task,Seed_1337,Mean,Std
random1,mmlu,61.4585,61.4585,0.0000
random1,gsm8k,58.5292,58.5292,0.0000
random1,bbh,67.1094,67.1094,0.0000
random2,mmlu,59.4716,59.4716,0.0000
random2,gsm8k,59.5906,59.5906,0.0000
random2,bbh,66.1451,66.1451,0.0000
random3,mmlu,60.2265,60.2265,0.0000
random3,gsm8k,60.8036,60.8036,0.0000
random3,bbh,65.9424,65.9424,0.0000
random_avg,mmlu,60.3855,60.3855,0.0000
random_avg,gsm8k,59.6411,59.6411,0.0000
random_avg,bbh,66.3990,66.3990,0.0000
bm25,mmlu,59.8490,59.8490,0.0000
bm25,gsm8k,58.9841,58.9841,0.0000
bm25,bbh,62.6331,62.6331,0.0000
repsim,mmlu,61.4229,61.4229,0.0000
repsim,gsm8k,58.4534,58.4534,0.0000
repsim,bbh,66.2014,66.2014,0.0000
rds_plus,mmlu,60.6253,60.6253,0.0000
rds_plus,gsm8k,61.4102,61.4102,0.0000
rds_plus,bbh,66.2289,66.2289,0.0000
gradsim,mmlu,62.0709,62.0709,0.0000
gradsim,gsm8k,56.7096,56.7096,0.0000
gradsim,bbh,64.4373,64.4373,0.0000
less,mmlu,61.0953,61.0953,0.0000
less,gsm8k,57.7710,57.7710,0.0000
less,bbh,64.6800,64.6800,0.0000
bipcov,mmlu,63.3813,63.3813,0.0000
bipcov,gsm8k,59.2873,59.2873,0.0000
bipcov,bbh,66.0785,66.0785,0.0000

# Overall averages (mean across tasks for each seed, then mean/std across seeds)
Method,Metric,Seed_1337,Mean,Std
random1,Avg(MMLU,GSM8K,BBH),62.3657,62.3657,0.0000
random2,Avg(MMLU,GSM8K,BBH),61.7358,61.7358,0.0000
random3,Avg(MMLU,GSM8K,BBH),62.3242,62.3242,0.0000
random_avg,Avg(MMLU,GSM8K,BBH),62.1419,62.1419,0.0000
bm25,Avg(MMLU,GSM8K,BBH),60.4887,60.4887,0.0000
repsim,Avg(MMLU,GSM8K,BBH),62.0259,62.0259,0.0000
rds_plus,Avg(MMLU,GSM8K,BBH),62.7548,62.7548,0.0000
gradsim,Avg(MMLU,GSM8K,BBH),61.0726,61.0726,0.0000
less,Avg(MMLU,GSM8K,BBH),61.1821,61.1821,0.0000
bipcov,Avg(MMLU,GSM8K,BBH),62.9157,62.9157,0.0000
