dataset,method,paper_mean,paper_std
2dplanes,Random,0.819,0.046
2dplanes,LOO,0.804,0.076
2dplanes,Influence,0.774,0.088
2dplanes,DataShap,0.821,0.049
2dplanes,BetaShap,0.821,0.048
2dplanes,Banzhaf,0.773,0.084
2dplanes,AME,0.786,0.084
2dplanes,DVRL,0.754,0.159
2dplanes,DataOob,0.825,0.039
2dplanes,Bipartite,0.820,0.037
nomao,Random,0.899,0.050
nomao,LOO,0.887,0.078
nomao,Influence,0.878,0.088
nomao,DataShap,0.895,0.062
nomao,BetaShap,0.896,0.060
nomao,Banzhaf,0.876,0.087
nomao,AME,0.886,0.085
nomao,DVRL,0.864,0.130
nomao,DataOob,0.902,0.060
nomao,Bipartite,0.898,0.037
bbc-embeddings,Random,0.935,0.113
bbc-embeddings,LOO,0.931,0.119
bbc-embeddings,Influence,0.923,0.140
bbc-embeddings,DataShap,0.929,0.133
bbc-embeddings,BetaShap,0.930,0.130
bbc-embeddings,Banzhaf,0.915,0.151
bbc-embeddings,AME,0.917,0.152
bbc-embeddings,DVRL,0.757,0.294
bbc-embeddings,DataOob,0.930,0.113
bbc-embeddings,Bipartite,0.946,0.076
MiniBooNE,Random,0.801,0.044
MiniBooNE,LOO,0.784,0.070
MiniBooNE,Influence,0.757,0.086
MiniBooNE,DataShap,0.800,0.047
MiniBooNE,BetaShap,0.801,0.045
MiniBooNE,Banzhaf,0.756,0.085
MiniBooNE,AME,0.770,0.084
MiniBooNE,DVRL,0.712,0.154
MiniBooNE,DataOob,0.799,0.036
MiniBooNE,Bipartite,0.804,0.033
digits,Random,0.875,0.193
digits,LOO,0.867,0.203
digits,Influence,0.866,0.203
digits,DataShap,0.874,0.193
digits,BetaShap,0.873,0.193
digits,Banzhaf,0.860,0.212
digits,AME,0.869,0.205
digits,DVRL,0.647,0.380
digits,DataOob,0.858,0.196
digits,Bipartite,0.901,0.130
election,Random,0.710,0.082
election,LOO,0.715,0.082
election,Influence,0.700,0.115
election,DataShap,0.715,0.080
election,BetaShap,0.715,0.080
election,Banzhaf,0.682,0.141
election,AME,0.692,0.131
election,DVRL,0.707,0.105
election,DataOob,0.227,0.207
election,Bipartite,0.715,0.078
electricity,Random,0.716,0.039
electricity,LOO,0.697,0.062
electricity,Influence,0.664,0.072
electricity,DataShap,0.717,0.042
electricity,BetaShap,0.718,0.040
electricity,Banzhaf,0.669,0.071
electricity,AME,0.687,0.070
electricity,DVRL,0.629,0.124
electricity,DataOob,0.722,0.032
electricity,Bipartite,0.722,0.032
fried,Random,0.814,0.050
fried,LOO,0.794,0.081
fried,Influence,0.766,0.084
fried,DataShap,0.812,0.057
fried,BetaShap,0.814,0.054
fried,Banzhaf,0.764,0.086
fried,AME,0.781,0.084
fried,DVRL,0.776,0.111
fried,DataOob,0.826,0.036
fried,Bipartite,0.820,0.035
